id_daftar_sekolah,sekolah_asal,tipe_sekolah_asal,kodepos_sekolah,jenis_sekolah,is_deleted,tanggal_input,tanggal_update,id_lokasi
745,SMA NEGERI 3 PEMALANG,NEGERI,52312,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,198
746,SMA NEGERI 5 DENPASAR,NEGERI,80224,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,263
747,PKBM DHARMA PUTRA MANDIRI,SWASTA,15226,PKBM,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,253
748,SMA YPK OIKUMENE MANOKWARI,SWASTA,98312,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,482
749,ST.JOHN'S CATHOLIC,SWASTA,1,LUAR NEGERI,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,2
750,SMA TAMAN MADYA IBU PAWIYATAN,SWASTA,55151,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,215
751,SMA UNKLAB AIRMADIDI,SWASTA,95371,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,356
752,SMK YOS SUDARSO ENDE,SWASTA,86318,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,276
753,SMA BHAKTYARSA MAUMERE,SWASTA,86118,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,279
754,SMA NEGERI 1 SANGGAU,NEGERI,78516,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,305
755,SMA NEGERI 1 LANGKE REMBONG,NEGERI,86518,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,291
756,SMA KATOLIK SANTO  AUGUSTINUS NGANJUK,SWASTA,64419,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,245
757,SMA KATOLIK SANTO FRANSISKUS NAGEKEO,SWASTA,86462,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,277
758,SMA SANTO PETRUS KETAPANG,SWASTA,78813,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,295
759,SMA KATOLIK SANTO IGNATIUS MANADO,SWASTA,95163,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,359
760,SMA ADVENT TIMIKA,SWASTA,99910,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,470
761,SMA NEGERI 10 BANDAR LAMPUNG,NEGERI,35128,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,139
762,SMA NEGERI 1 EMBALOH HULU,NEGERI,78755,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,302
763,SMA KESATUAN BANGSA,SWASTA,55223,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,215
764,SMA SANTO PAULUS PONTIANAK,SWASTA,78243,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,299
765,SMK NEGERI 6 YOGYAKARTA,NEGERI,55166,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,215
766,SMA FRATER MAUMERE,SWASTA,86113,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,279
767,SMA  MATARI' ALLO,SWASTA,91831,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,392
768,SEKOLAH DARMA BANGSA,SWASTA,35142,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,139
769,SMK NEGERI 1 NUNUKAN,SWASTA,77456,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,346
770,SMA NEGERI 1 SEMARAPURA,NEGERI,80716,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,255
